state,total(est.)poverty_pop.,total(est.)poverty_under18
Alabama,4727549,299717
Alaska,717723,27741
Arizona,6573369,398754
Arkansas,2882856,179355
California,38060228,2007029
Colorado,5237149,185393
Connecticut,3485629,109751
Delaware,909611,34966
District of Columbia,624327,29202
Florida,19470210,933030
Georgia,9823859,638868
Hawaii,1379804,43019
Idaho,1603083,78394
Illinois,12571848,582212
Indiana,6391460,326069
Iowa,3004857,105497
Kansas,2821431,122934
Kentucky,4275359,253973
Louisiana,4518525,302101
Maine,1294009,46689
Maryland,5835377,168388
Massachusetts,6509672,202976
Michigan,9686787,481270
Minnesota,5332552,183274
Mississippi,2895470,208199
Missouri,5878658,279206
Montana,997952,39377
Nebraska,1828121,72556
Nevada,2800768,141644
New Hampshire,1287504,32849
New Jersey,8762159,310524
New Mexico,2045525,142903
New York,19228524,918641
North Carolina,9691794,539098
North Dakota,712548,23260
Ohio,11276403,580925
Oklahoma,3759517,204455
Oregon,3893475,175974
Pennsylvania,12371337,501858
Rhode Island,1015655,40822
South Carolina,4691589,283825
South Dakota,824373,36240
Tennessee,6386663,378596
Texas,26340247,1702958
Utah,2897762,115973
Vermont,601819,18090
Virginia,8080300,283702
Washington,6927889,265946
West Virginia,1792949,89528
Wisconsin,5603486,228692
Wyoming,570149,16262
